date,open_price,high_price,low_price,close_price,volume_price,adjclose_price
2020-06-09,5,5,4,4,8073400,4
2020-06-08,4,5,4,5,10133700,5
2020-06-05,4,4,4,4,6274400,4
2020-06-04,4,4,4,4,3514300,4
2020-06-03,4,4,4,4,3037400,4
2020-06-02,4,4,4,4,2369400,4
2020-06-01,4,4,4,4,2611600,4
2020-05-29,4,4,4,4,3973500,4
2020-05-28,4,4,4,4,2183900,4
2020-05-27,4,4,4,4,3146600,4
2020-05-26,4,4,4,4,3545700,4
2020-05-22,4,4,4,4,2379900,4
2020-05-21,4,4,4,4,1971900,4
2020-05-20,4,4,4,4,2543600,4
2020-05-19,4,4,4,4,1840700,4
2020-05-18,4,4,4,4,2371700,4
2020-05-15,4,4,4,4,1940600,4
2020-05-14,4,4,3,4,2004900,4
2020-05-13,4,4,4,4,2882900,4
2020-05-12,4,4,4,4,2639200,4
2020-05-11,4,4,4,4,1699200,4
2020-05-08,4,5,4,4,2353700,4
2020-05-07,4,4,4,4,2500800,4
2020-05-06,5,5,4,4,3369600,4
2020-05-05,5,5,5,5,2105900,5
2020-05-04,5,5,5,5,4068100,5
2020-05-01,5,6,5,6,4005600,6
2020-04-30,5,5,5,5,2173300,5
2020-04-29,5,6,5,6,3369600,6
2020-04-28,5,6,5,5,5200200,5
2020-04-27,4,5,4,5,7275100,5
2020-04-24,4,4,4,4,2236200,4
2020-04-23,4,4,4,4,2265900,4
2020-04-22,5,5,4,4,2677800,4
2020-04-21,5,5,4,4,4142100,4
2020-04-20,4,5,4,5,6085000,5
2020-04-17,5,5,4,4,5653200,4
2020-04-16,5,5,4,5,3371900,5
2020-04-15,5,5,4,5,7499900,5
2020-04-14,5,6,5,5,13506600,5
2020-04-13,4,4,4,4,6844500,4
2020-04-09,3,4,3,3,5908600,3
2020-04-08,3,3,3,3,2884500,3
2020-04-07,3,3,3,3,2836900,3
2020-04-06,2,3,2,3,3340500,3
2020-04-03,2,2,2,2,3830400,2
2020-04-02,3,3,2,2,4064300,2
2020-04-01,3,3,3,3,4568700,3
2020-03-31,3,3,3,3,2300900,3
2020-03-30,4,4,3,3,3350600,3
2020-03-27,4,5,4,4,7024800,4
2020-03-26,4,4,4,4,6185700,4
2020-03-25,4,4,4,4,3592100,4
2020-03-24,3,4,3,4,6805600,4
2020-03-23,3,3,3,3,6009800,3
2020-03-20,4,4,3,3,7722200,3
2020-03-19,3,4,3,4,5039500,4
2020-03-18,4,4,3,3,3651700,3
2020-03-17,4,4,4,4,3562200,4
2020-03-16,3,4,3,4,4866700,4
2020-03-13,4,4,3,4,5787200,4
2020-03-12,3,4,3,3,5123400,3
2020-03-11,4,4,4,4,4414100,4
2020-03-10,3,4,3,4,4863200,4
2020-03-09,3,3,3,3,2732000,3
2020-03-06,3,4,3,3,2096800,3
2020-03-05,3,3,3,3,3599400,3
2020-03-04,3,3,3,3,4257600,3
2020-03-03,3,3,3,3,4282500,3
2020-03-02,3,3,3,3,3208400,3
2020-02-28,3,3,3,3,4692200,3
2020-02-27,3,3,3,3,3879500,3
2020-02-26,3,3,3,3,4724800,3
2020-02-25,3,3,3,3,4447900,3
2020-02-24,3,3,3,3,3566300,3
2020-02-21,4,4,3,4,1695700,4
2020-02-20,4,4,4,4,1562300,4
2020-02-19,4,4,3,4,2593100,4
2020-02-18,4,4,3,4,1467600,4
2020-02-14,4,4,4,4,1582700,4
2020-02-13,4,4,4,4,2081700,4
2020-02-12,4,4,4,4,4820600,4
2020-02-11,3,4,3,4,3415000,4
2020-02-10,3,4,3,3,2777000,3
2020-02-07,4,4,3,3,2742300,3
2020-02-06,4,4,4,4,1510300,4
2020-02-05,4,4,4,4,2641700,4
2020-02-04,4,4,3,4,3563100,4
2020-02-03,3,3,3,3,2026200,3
2020-01-31,3,3,3,3,2891700,3
2020-01-30,4,4,3,3,3006500,3
2020-01-29,4,4,4,4,1552600,4
2020-01-28,4,4,4,4,2144900,4
2020-01-27,4,4,4,4,2122500,4
2020-01-24,4,4,4,4,4163600,4
2020-01-23,4,4,4,4,1880200,4
2020-01-22,4,4,4,4,2627500,4
2020-01-21,4,4,4,4,3532100,4
2020-01-17,4,4,4,4,4019500,4
2020-01-16,4,4,4,4,4287100,4
2020-01-15,4,4,4,4,4981100,4
2020-01-14,4,5,4,4,12561900,4
2020-01-13,5,5,5,5,3625200,5
2020-01-10,5,5,5,5,2781400,5
2020-01-09,5,5,5,5,2643000,5
2020-01-08,5,5,5,5,5629400,5
2020-01-07,5,5,5,5,5228000,5
2020-01-06,5,5,5,5,3394800,5
2020-01-03,6,6,5,5,3543900,5
2020-01-02,6,6,6,6,4453600,6
2019-12-31,6,6,5,6,4322600,6
2019-12-30,5,6,5,6,4482100,6
2019-12-27,5,5,5,5,11041300,5
2019-12-26,5,5,5,5,4264400,5
2019-12-24,5,5,5,5,3395500,5
2019-12-23,6,6,5,5,6282700,5
2019-12-20,6,6,5,5,5484600,5
2019-12-19,6,6,6,6,4452000,6
2019-12-18,6,6,5,6,5264100,6
2019-12-17,5,6,5,6,4141400,6
2019-12-16,5,5,5,5,4406900,5
2019-12-13,5,5,5,5,5439000,5
2019-12-12,5,5,5,5,6387300,5
2019-12-11,5,5,5,5,19517800,5
2019-12-10,6,6,6,6,9594900,6
2019-12-09,6,6,6,6,6250600,6
2019-12-06,6,6,6,6,4757300,6
2019-12-05,6,6,6,6,4381400,6
2019-12-04,6,6,6,6,2872400,6
2019-12-03,6,6,5,6,2214900,6
2019-12-02,6,6,6,6,2060600,6
2019-11-29,6,6,6,6,1369000,6
2019-11-27,6,6,6,6,3030000,6
2019-11-26,6,6,6,6,2648700,6
2019-11-25,5,6,5,6,2744900,6
2019-11-22,5,5,5,5,3493100,5
2019-11-21,5,5,5,5,2784000,5
2019-11-20,5,5,5,5,2666700,5
2019-11-19,5,5,5,5,3360500,5
2019-11-18,5,5,5,5,2995900,5
2019-11-15,6,6,5,5,2165900,5
2019-11-14,5,6,5,5,1708700,5
2019-11-13,5,5,5,5,1533600,5
2019-11-12,6,6,5,5,1834500,5
2019-11-11,6,6,5,6,3109400,6
2019-11-08,6,6,6,6,1968700,6
2019-11-07,6,6,6,6,3129300,6
2019-11-06,5,6,5,6,4128300,6
2019-11-05,5,6,5,5,3374100,5
2019-11-04,5,6,5,5,3670000,5
2019-11-01,5,6,5,5,5210400,5
2019-10-31,5,5,5,5,4358600,5
2019-10-30,5,5,5,5,3739500,5
2019-10-29,6,6,5,5,3918800,5
2019-10-28,6,6,6,6,2854700,6
